"","x"
"566","Slc27a3"
"567","Slc38a10"
"568","Slc44a5"
"569","Slc46a1"
"570","Slc4a7"
"571","Slc8b1"
"572","Slc9a2"
"573","Slc9a4"
"574","Smarcd3"
"575","Smim10l2a"
"576","Smpd3"
"577","Smpdl3b"
"578","Sncaip"
"579","Snx18"
"580","Soga1"
"581","Sorbs1"
"582","Sowaha"
"583","Sox11"
"584","Sox1ot"
"585","Spag6l"
"586","Sparc"
"587","Spata13"
"588","Spg21"
"589","Spidr"
"590","Spink10"
"591","Spint1"
"592","Spon1"
"593","Sppl2a"
"594","Spryd4"
"595","Srgap1"
"596","Srsf12"
"597","Srsf9"
"598","Ssbp4"
"599","St8sia2"
"600","Stac"
"601","Stk25"
"602","Stpg1"
"603","Stum"
"604","Suco"
"605","Synpr"
"606","Syt10"
"607","Syt17"
"608","Taf10"
"609","Tafa5"
"610","Taldo1"
"611","Tango6"
"612","Tbc1d16"
"613","Tcf12"
"614","Tefm"
"615","Tekt5"
"616","Tesc"
"617","Tex15"
"618","Thap4"
"619","Thra"
"620","Thumpd1"
"621","Thumpd3"
"622","Tle1"
"623","Tlr7"
"624","Tmcc2"
"625","Tmem107"
"626","Tmem123"
"627","Tmem231"
"628","Tmem255a"
"629","Tmem267"
"630","Tmsb4x"
"631","Tnc"
"632","Tnfaip8l3"
"633","Tnfrsf8"
"634","Tpbgl"
"635","Tpd52l1"
"636","Tpst1"
"637","Trappc5"
"638","Trim17"
"639","Trim67"
"640","Trim71"
"641","Trip4"
"642","Trps1"
"643","Ttc34"
"644","Ttn"
"645","Tubb2b"
"646","Tug1"
"647","Tunar"
"648","Twsg1"
"649","Txndc9"
"650","Tyrobp"
"651","Ube2a"
"652","Ubtd1"
"653","Uchl3"
"654","Ust"
"655","Vac14"
"656","Vit"
"657","Vps35l"
"658","Vsir"
"659","Vstm2b"
"660","Wasf1"
"661","Wfs1"
"662","Wipf3"
"663","Wipi1"
"664","Wscd2"
"665","Wtap"
"666","Ybx1"
"667","Ypel1"
"668","Zbbx"
"669","Zbtb11os1"
"670","Zbtb20"
"671","Zbtb6"
"672","Zcchc12"
"673","Zcchc14"
"674","Zfhx4"
"675","Zfp273"
"676","Zfp3"
